# y+ ()         
# Time          	patch           	min             	max             	average         
3650            	wall1	1.55971592e+00	5.30830926e+00	3.35127288e+00
3650            	sphere1	3.68219870e-01	1.70100224e+00	1.06550481e+00
3700            	wall1	1.54654910e+00	5.30830891e+00	3.34273695e+00
3700            	sphere1	3.68397335e-01	1.70080853e+00	1.06526077e+00
3750            	wall1	1.53363707e+00	5.30830857e+00	3.33437718e+00
3750            	sphere1	3.68570516e-01	1.70062754e+00	1.06502713e+00
3800            	wall1	1.52096832e+00	5.30830824e+00	3.32618924e+00
3800            	sphere1	3.68739278e-01	1.70045971e+00	1.06480405e+00
3850            	wall1	1.50853610e+00	5.30830792e+00	3.31816888e+00
3850            	sphere1	3.68906300e-01	1.70030514e+00	1.06459168e+00
3900            	wall1	1.49633507e+00	5.30830762e+00	3.31031203e+00
3900            	sphere1	3.69069040e-01	1.70016385e+00	1.06438996e+00
3950            	wall1	1.48435940e+00	5.30830733e+00	3.30261470e+00
3950            	sphere1	3.69228820e-01	1.70003562e+00	1.06419888e+00
4000            	wall1	1.47260340e+00	5.30830704e+00	3.29507298e+00
4000            	sphere1	3.69386119e-01	1.69992002e+00	1.06401825e+00
4050            	wall1	1.46106205e+00	5.30830677e+00	3.28768308e+00
4050            	sphere1	3.69538172e-01	1.69981657e+00	1.06384784e+00
4100            	wall1	1.44973065e+00	5.30830651e+00	3.28044136e+00
4100            	sphere1	3.69685300e-01	1.69972471e+00	1.06368745e+00
4150            	wall1	1.43860435e+00	5.30830625e+00	3.27334428e+00
4150            	sphere1	3.69828873e-01	1.69964371e+00	1.06353687e+00
4200            	wall1	1.42767824e+00	5.30830600e+00	3.26638841e+00
4200            	sphere1	3.69971615e-01	1.69957280e+00	1.06339573e+00
4250            	wall1	1.41694738e+00	5.30830577e+00	3.25957046e+00
4250            	sphere1	3.70117039e-01	1.69951123e+00	1.06326361e+00
